Nome,Matrícula,CPF,Data Nascimento,Plano
ANA BEATRIZ SOUZA,14/03/2001,12.***.***-01,00000093,Plano Bronze
BRUNO HENRIQUE SILVA,22/07/1999,98.***.***-00,00000094,Plano Prata
CARLA MENDES OLIVEIRA,01/12/2000,45.***.***-09,00000095,Plano Ouro
DANIEL ROCHA LIMA,09/05/1998,32.***.***-45,00000096,Plano Diamante
EDUARDA FIGUEIREDO SANTOS,25/11/2002,15.***.***-20,00000097,Plano Black
FELIPE MARTINS COSTA,30/01/2001,25.***.***-30,00000098,Plano Student Fit
GABRIELA ARAUJO PINTO,19/10/1997,36.***.***-40,00000099,Plano Corporativo
HENRIQUE CARVALHO NUNES,10/02/1999,74.***.***-50,00000100,Plano Família
ISABELA RODRIGUES MOREIRA,04/09/2000,85.***.***-60,00000101,Plano Weekend
JOÃO PEDRO ALMEIDA,20/04/2001,96.***.***-70,00000102,Plano Manhã Saudável
KAREN MOURA LIMA,11/08/2003,14.***.***-80,00000103,Plano Noite Flex
LUCAS GABRIEL RIBEIRO,28/03/1998,25.***.***-90,00000104,Plano Anual Premium
MARIANA CASTRO GOMES,07/06/2002,36.***.***-11,00000105,Plano Bronze
NICOLAS BARBOSA FERNANDES,30/12/1999,45.***.***-22,00000106,Plano Prata
OTÁVIO CARDOSO PIRES,15/02/2001,78.***.***-33,00000107,Plano Ouro
PATRÍCIA MORAES TAVARES,09/09/1997,12.***.***-44,00000108,Plano Diamante
RAFAEL CUNHA DUARTE,02/05/2000,98.***.***-55,00000109,Plano Black
SARA NOGUEIRA LIMA,11/10/2001,65.***.***-66,00000110,Plano Student Fit
THIAGO MELO ROCHA,19/07/1999,32.***.***-77,00000111,Plano Corporativo
VITÓRIA CORREIA CAMPOS,08/01/2002,14.***.***-88,00000112,Plano Família
ALEXANDRE FREITAS SOUZA,20/02/1998,96.***.***-99,00000113,Plano Weekend
BRUNA COSTA AZEVEDO,15/05/2003,25.***.***-10,00000114,Plano Manhã Saudável
CAIO RIBEIRO MATOS,03/11/2000,75.***.***-21,00000115,Plano Noite Flex
